"Skin Name","Type","Skin Rarity","Base Value","Obtainable By"
"Immortal","Bayonet","Mythical","250,000,000","2500 SRP & 150x 💎"
"Imperial","SCAR","Mythical","40,000,000","1300 KLO & 150x 💎"
"Impostor","Character","Mythical","1,250,000,000","Zombie Texture"
"Infarction","Bayonet","Mythical","3,000,000","150x 💎"
"Infernal","AR-9","Mythical","600,000","All chests"
"Infra","Revolver","Epic","1,000","All chests / Packs"
"Iridium","Character","Rare","250","All chests / Packs"
"Iron","Weatie","Common","100","All chests / Packs"
"Isolation","Weatie","Rare","250","All chests / Packs"
"Ivoire","Revolver","Mythical","250,000","All chests"
"Jade","Bayonet","Mythical","600,000","All chests"
"James","Character","Default","0","Default Item"
"Jamyers","Character","Mythical","650,000","150x 💎"
"Jana","Character","Rare","250","Christmas Chest"
"Janett","Character","Mythical","1,000,000","Watch 15 hours Kirka"
"Jap","Weatie","Legendary","5,000","All chests"
"Jarritos","Character","Mythical","1,500,000","Watch 15 hours Kirka"
"Jaymeson","Character","Legendary","250,000","60x 💎"
"Jazzin","Character","Mythical","5,000,000","Watch 15 hours Kirka"
"Jenni","Character","Mythical","15,000,000","850x💎"
"Jerm","Character","Rare","250","Christmas Chest"
"Jess","Character","Mythical","20,000,000","1000x💎"
"Jingles","Vita","Mythical","35,000,000","850x💎"
"Jolly","Character","Mythical","1,000,000","Watch 15 hours Kirka"
"Jolly James","Character","Epic","1,000","Christmas Chest"
"Jombie","Character","Epic","1,000","Halloween Chest"
"Jovie","Character","Legendary","5,000","Christmas Chest"
"Juicer","Character","Mythical","750,000,000","Gift for Irrvlo"
"Karo","Revolver","Rare","250","All chests / Packs"
"KCL Bronze","Character","Paranormal","449,999,999","2026 KCL Tournament"
"KCL Gold","Character","Paranormal","500,000,000","2026 KCL Tournament"
"KCL Silver","Character","Paranormal","450,000,000","2026 KCL Tournament"
"keith","Character","Mythical","15,000,000","1000x💎"
"KEKW","Character","Mythical","750,000,000","Gift for Skywalk"
"Keon","Character","Epic","1,000","All chests / Packs"
"Kevin","Character","Rare","250","Christmas Chest"
"Kin","Bayonet","Legendary","20,000,000","150x 💎"
"King","Character","Rare","250","All chests / Packs"
"Kingdracula","Character","Rare","250","Halloween Chest"
"Kiss","Shark","Legendary","500,000,000","Offical Giveaway"
"Kitsune","Character","Mythical","15,000,000","1000x💎"
"Knightfall","Character","Mythical","1,500,000","Watch 15 hours Kirka"
"Kod","Character","Legendary","330,000,000","150x 💎"
"Koi","Bayonet","Mythical","550,000","150x 💎"
"Korunami","LAR","Mythical","240,000","37th Clan War"
"Kraken","Shark","Legendary","150,000","36th Clan War"
"Krampus","Character","Mythical","500,000","27,545 Score"
"Kristine","Character","Rare","250","Christmas Chest"
"Kyoto","LAR","Rare","1,500,000","1st Clan War"
"Labyrinth","VITA","Legendary","200,000,000","150x 💎"
"Land","MAC-10","Common","100","All chests / Packs"
"Landoh","VITA","Legendary","80,000","31st Clan War"
"Landscape","Character","Mythical","11,000,000","250 PAR Wins"
"Lantern","SCAR","Epic","1,000","All chests / Packs"
"LAR","LAR","Default","0","Default Item"
"Larry","M60","Rare","250","All chests / Packs"
"Lashes","Bayonet","Legendary","250,000","50x 💎"
"Lava","LAR","Epic","1,000","All chests / Packs"
"Legend","VITA","Legendary","2,000,000,000","2022 Offcial Tournamnet"
"Lemon","MAC-10","Rare","250","All chests / Packs"
"LEO","AR-9","Epic","1,000","All chests / Packs"
"Leopard","VITA","Rare","250","All chests / Packs"
"Liberty","VITA","Legendary","2,500,000","36th Clan War"
"Lightning","AR-9","Epic","9,500,000","1st Clan War"
"Lilith","Character","Mythical","150,000","Halloween Chest"
"Lime","Character","Epic","1,000","Christmas Chest"
"Lion","Character","Mythical","15,000,000","1000x💎"
"Lis","Revolver","Mythical","250,000","36th Clan War"
"LMAO","Character","Mythical","500,000","150x 💎"
"Lock","Character","Mythical","110,000,000","2000x💎"
"LOL","Character","Epic","575,000,000","80x 💎"
"Lola","Character","Mythical","2,000,000","""Hot Rod"" 850x 💎"
"London","Character","Rare","250","All chests / Packs"
"Lor","Character","Legendary","140,000,000","150x 💎"
"Lord","Character","Mythical","15,000,000","850x💎"
"Lost","Character","Mythical","400,000,000","1000x💎"
"Love","VITA","Legendary","1,850,000,000","Offical Giveaway"
"Love Bites","Bayonet","Mythical","550,000","150x 💎"
"Loved","Bayonet","Mythical","25,000,000","1k Bayonet Kills"
"Lucky","Bayonet","Mythical","3,000,000","150x 💎"
"Lucy","Character","Legendary","200,000","60x 💎"
"Luminescent","Bayonet","Mythical","696,969,696","Ranked Gift For Bloom"
"Lunar","VITA","Mythical","1,000,000,000","25k VITA Kills"
"Lustre","Bayonet","Mythical","600,000","2,500 bayonet kills"
"Lux","LAR","Legendary","10,000","All chests"
"Lydia","Character","Common","100","All chests / Packs"
"Lynx","Lar","Mythical","130,000,000","2000x💎"
"M60","M60","Default","0","Default Item"
"Mabel","Character","Mythical","5,000,000","Watch 15 hours Kirka"
"MAC-10","MAC-10","Default","0","Default Item"
"Machinery","VITA","Legendary","1,500,000","6th Clan War"
"Madness","Ar-9","Mythical","TBD","Watch CC's 15 hours"
"Mage","Character","Mythical","200,000,000","3,500,000 score"
"Magic","Shark","Mythical","650,000","150x💎"
"Magic Splat","Revolver","Epic","1,000","All chests / Packs"
"Magma","VITA","Rare","250","All chests / Packs"
"Magnum","Revolver","Epic","1,000","All chests / Packs"
"Maid","Character","Mythical","12,000,000","Watch 15 hours MikeyO"
"Majestic","Shark","Mythical","500,000","All chests"
"Major","Character","Rare","250","All chests / Packs"
"Maksim","Character","Legendary","15,000","Soldiers Pack"
"Malachite","MAC-10","Rare","250","All chests / Packs"
"Mangle","Character","Mythical","750,000,000","Zombie Texture"
"Marage","Character","Mythical","150,000,000","3000 SRP & 150x 💎"
"Marbled","MAC-10","Common","100","All chests / Packs"
"Maria","Character","Rare","250","All chests / Packs"
"Mariah","Character","Epic","1,000","All chests / Packs"
"Marilwyd","Character","Mythical","100,000","Christmas Chest"
"Master","AR-9","Legendary","700,000,000","2022 Offical Tournamnet"
"Matchalatte","Character","Mythical","70,000,000","1000x💎"
"Maxwell","MAC-10","Rare","250","All chests / Packs"
"May","Character","Mythical","200,000,000","1000x💎"
"Maze","Character","Epic","50,000,000","80x 💎"
"Megalodon","Shark","Legendary","2,500,000","14th Clan War"
"Melody","Character","Mythical","3,000,000","Girls Band Pack"
"Melon","Character","Legendary","250,000","60x 💎"
"MemeStar","LAR","Legendary","2,000,000","5th Clan War"
"MemeStarTV","Character","Legendary","750,000,000","Gift for First map maker"
"Menthol","Character","Rare","250","Christmas Chest"
"Metallic","SCAR","Rare","250","All chests / Packs"
"Metallic Rainbow","VITA","Legendary","10,000","2nd Clan War / chests"
"Meteor","VITA","Mythical","400,000","17 & 18th Clan War"
"Metro","AR-9","Mythical","30,000,000","10k AR-9 Kills"
"Mikasa","Character","Mythical","60,000,000","1000x💎"
"Mili","M60","Common","100","All chests / Packs"
"Military","SCAR","Common","1,000","All chests / Packs"
"Milkyway","Character","Mythical","650,000","Watch 15 hours Kirka"
"Milo","MAC-10","Epic","1,000","All chests / Packs"
"Mindframe","MAC-10","Mythical","150,000","10,297 MAC-10 Score"
"Mirror","VITA","Mythical","65,000,000","20k VITA Kills"
"Mistletoe","Character","Mythical","500,000","150x 💎"
"Mohito","VITA","Rare","250","All chests / Packs"
"Moira","AR-9","Epic","1,000","All chests / Packs"
"Molten Core","MAC-10","Epic","1,000","All chests / Packs"
"Moltorath","Character","Mythical","15,000,000","1000x💎"
"Mommy","AR-9","Legendary","250,000,000","10k AR-9 Kills"
"Momo","Character","Legendary","250,000","60x 💎"
"Monarch","Shark","Mythical","3,500,000","500 KLO & 150x 💎"
"Monday","Character","Mythical","750,000,000","Gift for Ramen"
"Monk","Character","Mythical","30,000,000","500 PAR Wins"
"Monkey","Revolver","Rare","250","All chests / Packs"
"Moody","Character","Mythical","100,000,000","1000x💎"
"Moon","Character","Legendary","450,000","60x 💎"
"Moonlight","Mac-10","Mythical","200,000","42nd Clan War"
"Mossy","Shark","Legendary","750,000","10th Clan War"
"Muppet","Character","Mythical","500,000,000","Exclusive Giveaway"
"Murdered","Revolver","Legendary","10,000","All chests / Packs"
"Mushroom","Character","Mythical","50,000,000","2000x💎"
"Mya","Character","Common","100","All chests / Packs"
"Mystic","Revolver","Rare","250","All chests / Packs"
"N30N","Bayonet","Mythical","70,000,000","1000x💎"
"Nature","Character","Mythical","1,000,000","150x 💎"
"Navy","Revolver","Common","100","All chests / Packs"
"Nebula","VITA","Epic","1,000","All chests / Packs"
"Neo2","Scar","Mythical","700,000","47th Clan War"
"Neon","Weatie","Epic","1,000","All chests / Packs"
"Nerida","Bayonet","Mythical","800,000","150x 💎"
"New","Bayonet","Legendary","750,000,000","Gift for Kirka Admin"
"New Year","Shark","Epic","600,000,000","Glitched in chests"
"Nib","Character","Mythical","500,000","150x 💎"
"Nicolas","Character","Rare","250","Christmas Chest"
"Night Sky","Vita","Mythical","TBD","50k Vita HS"
"Noah","Character","Common","100","All chests / Packs"
"Noble","VITA","Legendary","10,000,000","10th Clan War"
"Noir","Weatie","Common","100","All chests / Packs"
"Nokken","Character","Mythical","40,000,000","1000x💎"
"Normal Map","LAR","Legendary","15,000","All chests"
"Nova","SCAR","Mythical","1,000,000","20th Clan War"
"Nuclear Waste","Weatie","Rare","250","All chests / Packs"
"Nukem","Character","Legendary","10,000","Halloween Chest"
"Nullity","Character","Mythical","TBD","2000x💎"
"Nutcracker","Character","Mythical","2,000,000","Watch 15 hours Kirka"
"Nyan Cat","VITA","Legendary","450,000,000","150x 💎"
"Nyan Dog","Character","Paranormal","40,000,000","Party Pack"
"Nyan Shark","Shark","Mythical","600,000","150x 💎"
"Oblivion","Scar","Mythical","1,500,000","42nd Clan War"
"Obsidian","AR-9","Epic","1,000","All chests / Packs"
"Ofpast","Character","Rare","250","Christmas Chest"
"Ofpresent","Character","Rare","250","Christmas Chest"
"Old","Bayonet","Legendary","325,000,000","First 100 accounts "
"Onesi","Character","Mythical","60,000,000","1000x💎"
"Onesie","Character","Mythical","40,000,000","1000x💎"
"Onryo","Character","Mythical","30,000,000","15 hours watching mods"
"Ophelia","Character","Mythical","200,000,000","1000x💎"
"Or","Bayonet","Mythical","300,000","All chests"
"Orbit","LAR","Legendary","250,000","11th Clan War"
"Orchid","Shark","Mythical","8,500,000","3k Shark Kills"
"Orion","Character","Mythical","100,000,000","1500x💎"
"Ornaments","Bayonet","Mythical","450,000","150x 💎"
"Ortus","Revolver","Mythical","1,000,000","44tb Clan War"
"Ostern","Shark","Legendary","350,000,000","150x 💎"
"Owen","Character","Common","100","All chests / Packs"
"Oxygen","Character","Rare","250","All chests / Packs"
"P-40","Shark","Legendary","55,000,000","150x 💎"
"Pajama","Character","Epic","1,000","Christmas Chest"
"Pajama unc","Character","Mythical","100,000","Christmas Chest"
"Pale","SCAR","Common","300","All chests / Packs"
"Panda","Character","Mythical","550,000","150x 💎"
"Pandora","Character","Mythical","15,000,000","1000x💎"
"Panta","Character","Epic","1,000","Christmas Chest"
"Paques","VITA","Epic","200,000,000","80x 💎"
"Party","Card","Common","500","Shop"
"Pastel","Character","Mythical","2,500,000","Party Pack"
"Paypay","Character","Mythical","100,000,000","1000x💎"
"Payton","Character","Common","100","All chests / Packs"
"PCB","M60","Legendary","3,000,000","4th Clan War"
"Peachy","VITA","Epic","1,000","All chests / Packs"
"Peakers","Vita","Mythical","40,000,000","30,000 kills with vita"
"Pearl","Character","Mythical","500,000,000","2250 SRP & 150x💎 "
"Pebbles","Character","Mythical","10,000,000","Watch 15 hours Kirka"
"Pecan","LAR","Common","100","All chests / Packs"
"Pegas","AR-9","Common","100","All chests / Packs"
"Pencil","Bayonet","Mythical","2,000,000","150x 💎"
"Pengu","Character","Mythical","900,000","250x💎"
"Pepe","Character","Mythical","500,000,000","1000x💎"
"Peppermint","Character","Legendary","32,500,000","150x 💎"
"Periodic","Card","Common","500","All chests / Packs"
"Petal","Shark","Legendary","250,000","60x 💎"
"Phantom","Character","Mythical","4,000,000","Watch 15 hours Kirka"
"Pharaoh","Character","Mythical","45,000,000","2500 SRP & 150x💎 "
"Phoenix","Character","Mythical","500,000,000","Exclusive Giveaway"
"Pibble","Character","Mythical","3,000,000","Watch 15 hours Kirka"
"Picea","SCAR","Common","100","All chests / Packs"
"Pie","Character","Mythical","500,000","150x 💎"
"Pigo","Character","Common","100","All chests / Packs"
"Pinata","Character","Mythical","130,000,000","4000x💎"
"Pine","Character","Epic","1,000","All chests / Packs"
"Pineapple","SCAR","Rare","1,000","All chests / Packs"
"Pink Camouflage","VITA","Rare","250","All chests / Packs"
"Pink Demon","M60","Epic","1,000","All chests / Packs"
"Placate","Bayonet","Mythical","2,000,000","1k Bayonet Kills"
"Plague","Character","Legendary","10,000","Halloween Chest"
"Platinum","Bayonet","Paranormal","500,000,000","500m Coins on Market"
"Playdate","Shark","Mythical","30,000,000","2.5k Shark Kills"
"Playmate","VITA","Mythical","12,000,000","5k VITA Kills"
"Plum","LAR","Epic","1,000","All chests / Packs"
"Polar","Character","Mythical","3,500,000","Cold Pack"
"Polka","Character","Mythical","15,000,000","1000x💎"
"Pollen","Character","Mythical","15,000,000","1000x💎"
"Polychrome","VITA","Legendary","6,000,000","30th Clan War"
"Polygon","Bayonet","Mythical","1,000,000","65,000 kills"
"Polygun","VITA","Rare","250","All chests / Packs"
"Pontianak James","Character","Legendary","10,000","Halloween Chest"
"Pooh","Character","Paranormal","85,000,000","Christmas Chest"
"Pool Blaster","MAC-10","Legendary","30,000","31st Clan War"
"Pop","Character","Mythical","750,000,000","Gift For Masten"
"Priceless","M60","Mythical","1,000,000,000","2025 Resunz Championship"
"Prince","Character","Mythical","100,000,000","1000x💎"
"Prism","Bayonet","Mythical","12,500,000","1500 SRP & 150x💎 "
"Prisma","Mac-10","Mythical","700,000","46th clan war"
"Prismatic","Bayonet","Mythical","1,500,000","46th clan war"
"Promethium","Character","Rare","250","All chests / Packs"
"Proton Beam","LAR","Legendary","250,000","9th Clan War"
"Psychedelic","Bayonet","Paranormal","30,000,000","Spawned"
"Psycho","SCAR","Legendary","20,000","All chests"
"Pulse","Revolver","Mythical","250,000","All chests"
"Pumpgirl","Character","Rare","250","Halloween Chest"
"Pumpkinspice","Character","Epic","1,000","Halloween Chest"
"Pumpreaper","Character","Legendary","10,000","Halloween Chest"
"Punishment","Character","Mythical","1,700,000","Watch 15 hours Kirka"
"Punji","Bayonet","Mythical","500,000","150x 💎"
"Puppet","Character","Mythical","150,000","Halloween Chest"
"Purp","Character","Mythical","30,000,000","1000x💎"
"Pyrite","Bayonet","Mythical","2,000,000","45th clan war"
"Qod","Character","Mythical","100,000,000","1000x💎"
"Queen","Character","Mythical","15,000,000","30k Kills"
"Quilliam","VITA","Mythical","65,000,000","10k VITA Kills"
"R32","Shark","Mythical","80,000,000","32k shark headshots"
"Rabbit","Shark","Mythical","550,000","150x 💎"
"Rad","Shark","Legendary","750,000,000","Gift for Kirka Admin"
"Radioactive","Bayonet","Legendary","30,000,000","7.5k bayonet headshots"
"Raffle","Shark","Legendary","TBD","Streamer Choice"
"Rainbow","SCAR","Epic","5,000","All chests / Packs"
"Rainbows","Character","Mythical","80,000,000","2000x💎"
"Rainy","Character","Mythical","50,000,000","1000x💎"
"Rampage","M60","Mythical","450,000,000","25k M60 Kills"
"Ramses","LAR","Mythical","1,200,000","5k LAR Kills"
"Ranked_S1 Bronze","Bayonet","Mythical","500,000,000","Ranked LB Rank 3"
"Ranked_S1 Gold","Bayonet","Mythical","500,000,000","Ranked LB Rank 1"
"Ranked_S1 Silver","Bayonet","Mythical","500,000,000","Ranked LB Rank 2"
"Ranked_S1 Top10","Bayonet","Mythical","450,000,000","Ranked LB Rank 4-10"
"Ranked_S1 Top100","Bayonet","Mythical","15,000,000","Ranked LB Rank 11-100"
"Ranked_s2 Bronze","Bayonet","Mythical","500,000,000","Ranked LB Rank 3"
"Ranked_s2 Gold","Bayonet","Mythical","500,000,000","Ranked LB Rank 1"
"Ranked_s2 Silver","Bayonet","Mythical","500,000,000"," Ranked LB Rank 2"
"Ranked_s2 Top10","Bayonet","Mythical","450,000,000","Ranked LB Rank 4-10"
"Ranked_s2 Top100","Bayonet","Mythical","15,000,000","Ranked LB Rank 11-100"
"Ranked_s3 bronze","Bayonet","Mythical","500,000,000","Ranked LB Rank 3"
"Ranked_s3 gold","Bayonet","Mythical","500,000,000","Ranked LB Rank 1"
"Ranked_s3 silver","Bayonet","Mythical","500,000,000"," Ranked LB Rank 2"
"Ranked_s3 top10","Bayonet","Mythical","150,000,000","Ranked LB Rank 4-10"
"Ranked_s3 top100","Bayonet","Mythical","8,000,000","Ranked LB Rank 11-100"
"Ranked_s4 bronze","Bayonet","Mythical","500,000,000","Ranked LB Rank 3"
"Ranked_s4 gold","Bayonet","Mythical","500,000,000","Ranked LB Rank 1"
"Ranked_s4 silver","Bayonet","Mythical","500,000,000","Ranked LB Rank 2"
"Ranked_s4 top10","Bayonet","Mythical","140,000,000","Ranked LB Rank 4-10"
"Ranked_s4 top100","Bayonet","Mythical","7,000,000","Ranked LB Rank 11-100"
"Ranked_S5 Bronze","Bayonet","Mythical","500,000,000","Ranked LB Rank 3"
"Ranked_S5 Gold","Bayonet","Mythical","500,000,000","Ranked LB Rank 1"
"Ranked_S5 Silver","Bayonet","Mythical","500,000,000","Ranked LB Rank 2"
"Ranked_S5 Top10","Bayonet","Mythical","450,000,000","Ranked LB Rank 4-10"
"Ranked_S5 Top100","Bayonet","Mythical","20,000,000","Ranked LB Rank 11-100"
"Ranked_s6 Bronze","Bayonet","Mythical","500,000,000","Ranked LB Rank 3"
"Ranked_s6 Gold","Bayonet","Mythical","500,000,000","Ranked LB Rank 1"
"Ranked_s6 Silver","Bayonet","Mythical","500,000,000","Ranked LB Rank 2"
"Ranked_s6 Top10","Bayonet","Mythical","450,000,000","Ranked LB Rank 4-10"
"Ranked_s6 Top100","Bayonet","Mythical","20,000,000","Ranked LB Rank 11-100"
"Rar","LAR","Legendary","175,000","35th Clan War"
"Rasta","LAR","Epic","1,000","All chests / Packs"
"Reactor","Tomahawk","Mythical","600,000","150x 💎"
"Reaper","Character","Legendary","200,000","60x 💎"
"Rebel","Bayonet","Legendary","20,000,000","1k Bayonet Kills"
"Red Reaper","MAC-10","Legendary","3,000,000","9th Clan War"
"Redline","LAR","Rare","250","All chests / Packs"
"RedMoon","VITA","Common","100","All chests / Packs"
"Redwitch","Character","Epic","1,800,000","Halloween Chest"
"Reed","Character","Legendary","125,000","60x 💎"
"Refill","Bayonet","Mythical","TBD","Watch 15 hours Gecko"
"Reflections","Bayonet","Mythical","2,500,000","2.5k Bayonet Kills"
"Regal","Shark","Mythical","90,000,000","10k Shark Kills"
"Regent","Ar-9","Legendary","150,000,000","2000x💎"
"Rein","Character","Rare","250","All chests / Packs"
"Reindeer","Character","Legendary","200,000","60x💎"
"Reptile","VITA","Rare","250","All chests / Packs"
"Republica","M60","Legendary","2,000,000","9th Clan War"
"Retro","Bayonet","Mythical","500,000","All chests"
"Retrowave","MAC-10","Legendary","20,000,000","1st Clan War"
"Revolver","Revolver","Default","0","Default Item"
"RGB","Character","Legendary","1,000,000","""Void"" 850x 💎"
"RGB Black","Character","Mythical","1,500,000","""Void"" 850x 💎"
"Rider","Character","Mythical","15,000,000","1000x💎"
"Rift","Bayonet","Mythical","6,000,000","500 SRP & 150x💎 "
"Ripped Santa","Character","Paranormal","120,000,000","Christmas Chest"
"Ritual","Bayonet","Mythical","200,000","1k Bayonet Kills"
"Rogue","VITA","Legendary","3,000,000","4th Clan War"
"Rose","Character","Mythical","3,000,000","Watch 15 hours Kirka"
"Rosed","VITA","Mythical","15,000,000","3.5k VITA Kills"
"Rosy","VITA","Mythical","2,500,000,000","Reward for Bug Finder"
"Royalchamp","Character","Mythical","600,000","Watch 15 hours Kirka"
"Royalty","Revolver","Common","100","All chests / Packs"
"Rub1x","MAC-10","Mythical","600,000","All chests"
"Rubies","Character","Mythical","15,000,000","Watch 15 hours Kirka"
"Ruby","Character","Common","100","All chests / Packs"
"Runic Death","Bayonet","Legendary","TBD","15k Bayonet HS"
"Rusty","LAR","Common","100","All chests / Packs"
"Ruth","M60","Rare","250","All chests / Packs"
"Sady","Character","Common","100","All chests / Packs"
"Saint Patrick","Shark","Legendary","60,000,000","15 hours watching mods"
"Sakura","SCAR","Epic","1,000","All chests / Packs"
"Saliman","LAR","Rare","250","All chests / Packs"
"Salvaged","Shark","Mythical","25,000,000","1250 SRP & 150x💎 "
"Sam","VITA","Legendary","10,000","All chests"
"Samta","Character","Legendary","5,000","Christmas Chest"
"Samurai","VITA","Epic","375,000,000","80x 💎"
"Sandwich","Character","Mythical","300,000","60x 💎"
"Santa","VITA","Legendary","10,000","All chests"
"Santa Claus","Character","Legendary","25,000,000","150x 💎"
"Santa Fox","Character","Legendary","5,000","Christmas Chest"
"Saurus","Bayonet","Mythical","750,000,000","15k Bayonet Kills"
"Savage","MAC-10","Legendary","2,000,000","12th Clan War"
"Scale","VITA","Rare","250","All chests / Packs"
"Scalped","Tomahawk","Mythical","750,000,000","Gift for Skywalk"
"SCAR","SCAR","Default","0","Default Item"
"Scarey","SCAR","Epic","1,000,000","30th Clan War"
"Scarlet","SCAR","Legendary","7,000,000","7th Clan War"
"Scary Monster","Character","Mythical","750,000,000","Gift for CarrySheriff"
"Scarygf","Character","Rare","250","Halloween Chest"
"Schaedel","MAC-10","Mythical","750,000","13th Clan War"
"Scorcher","Shark","Mythical","1,000,000","43rd Clan War"
"Sculpture","Character","Mythical","100,000,000","850x💎"
"Sensei","Character","Legendary","550,000,000","150x 💎"
"Shank","Bayonet","Mythical","250,000,000","850x💎"
"Shard","Bayonet","Legendary","500,000","10th Clan War"
"Shark","Shark","Default","0","Default Item"
"Shinji","Character","Mythical","50,000,000","1000 wins"
"Shiny","SCAR","Rare","250","All chests / Packs"
"Shit Ar-9","Ar-9","Mythical","1,000,000","""Shit"" 850x💎"
"Shit Bayonet","Bayonet","Mythical","1,500,000","""Shit"" 850x💎"
"Shit LAR","LAR","Mythical","1,000,000","""Shit"" 850x💎"
"Shit M60","M60","Mythical","1,000,000","""Shit"" 850x💎"
"Shit Mac-10","Mac-10","Mythical","1,000,000","""Shit"" 850x💎"
"Shit Revolver","Revolver","Mythical","1,000,000","""Shit"" 850x💎"
"Shit Scar","Scar","Mythical","1,500,000","""Shit"" 850x💎"
"Shit Shark","Shark","Mythical","1,500,000","""Shit"" 850x💎"
"Shit Tomahawk","Tomahawk","Mythical","2,000,000","""Shit"" 850x💎"
"Shit Vita","Vita","Mythical","1,500,000","""Shit"" 850x💎"
"Shit Weatie","Weatie","Mythical","1,000,000","""Shit"" 850x💎"
"Shiver","Character","Mythical","2,000,000","Watch 15 hours Kirka"
"Shotdead","Vita","Mythical","500,000","39th Clan War"
"Shroud","Character","Mythical","500,000","150x 💎"
"Silicon","Character","Common","100",""
"Silver Bullet","Vita","Mythical","85,000,000"," 2500 SRP &150x 💎"
"Simplicity","LAR","Epic","1,000","All chests / Packs"
"Singularity","Character","Mythical","250,000,000","1000x💎"
"Sinister","Character","Mythical","35,000,000","Watch 15 hours Kirka"
"Sirene","Character","Mythical","TBD","12 Daily Streak"
"Sizzle","Character","Mythical","12,000,000","1500 SRP & 150x 💎"
"Skel","Character","Epic","25,000,000","90x 💎"
"Skeletain","Character","Mythical","200,000","Halloween Chest"
"Sketch","Character","Legendary","450,000,000","2000 KLO & 60x 💎"
"Sketched","SCAR","Mythical","1,000,000","45th clan war"
"Skillz","Character","Mythical","20,000,000","1000x💎"
"Skulduggery","Character","Mythical","3,500,000","Watch 15 hours Kirka"
"Sky","AR-9","Common","100","All chests / Packs"
"Skyboy","Character","Common","100","All chests / Packs"
"Slasher","Character","Paranormal","8,000,000","Halloween Chest"
"Slay","Character","Mythical","30,000,000","1000x💎"
"Slayer","VITA","Mythical","600,000","20th Clan War"
"Sleep","MAC-10","Rare","250","All chests / Packs"
"Sleepy","VITA","Mythical","500,000","13th Clan War"
"Slime","Character","Mythical","450,000","150x 💎"
"Smile","VITA","Mythical","300,000","90x 💎"
"Smoked","Revolver","Common","100","All chests / Packs"
"Snake","Tomahawk","Mythical","750,000","150x 💎"
"Snowglobe","Character","Mythical","33,333,333","850x 💎"
"Snowman","Character","Legendary","15,000","Cold Pack"
"Snows","Character","Mythical","1,500,000","Watch 15 hours Kirka"
"Snowy","Character","Rare","250","All chests / Packs"
"Soak","Revolver","Mythical","400,000,000","10k Revolver Kills"
"Solar","Shark","Legendary","300,000","60x 💎"
"Soldiers","Card","Common","500","Shop"
"Solitude","Ar-9","Mythical","40,000,000","2000 SRP & 150x💎 "
"Sour Kandy","Character","Legendary","900,000","Watch KirkaComp 1hr"
"Space","Character","Mythical","20,000,000","1000x💎"
"Spearmint","Character","Mythical","50,000","Play 15 min of kirka"
"Spectacular","AR-9","Epic","1,000","All chests / Packs"
"Spectrum","MAC-10","Mythical","400,000","90x 💎"
"Spice","Character","Mythical","35,000,000","Admin Drop (15 hrs)"
"Spicy","SCAR","Common","100","All chests / Packs"
"Spilled","AR-9","Common","100","All chests / Packs"
"Splanch","Vita","Mythical","70,000,000","55k Vita Kills"
"Splash","Bayonet","Mythical","25,000,000","2.5k Bayonet Kills"
"Splush","Shark","Mythical","1,700,000","150x 💎"
"Spooder","Shark","Mythical","120,000","37th Clan War"
"Spooky","VITA","Mythical","800,000","13th Clan War"
"Spoooky","VITA","Mythical","500,000","150x 💎"
"Spore","Character","Mythical","1,000,000","Watch 15 hours Kirka"
"Spotted","VITA","Rare","250","All chests / Packs"
"Sprig","Character","Mythical","500,000","150x 💎"
"Spring","Bayonet","Mythical","8,000,000","1k Bayonet Kills"
"Sprout","Character","Mythical","2,500,000","150x 💎"
"Stargaze","Character","Mythical","70,000,000","1500x💎"
"Stargirl","Character","Mythical","20,000,000","1000x💎"
"Starlinked","Revolver","Common","100","All chests / Packs"
"Starship","Character","Mythical","700,000","Watch 15 hours Kirka"
"Starstruck","Shark","Mythical","200,000,000","7.5k Shark Headshots"
"Static","Vita","Mythical","30,000,000","15000 Vita Headshots"
"Steely","LAR","Common","100","All chests / Packs"
"Sterling","Shark","Mythical","8,500,000","Watch CC's 15 hours"
"Stingray","Tomahawk","Mythical","30,000,000","30k Tomahawk Kills"
"Stitches","Shark","Mythical","400,000","150x 💎"
"Stranded","Character","Mythical","100,000","3 Daily Streak"
"Streaks","Bayonet","Mythical","700,000","150x 💎"
"Striped","MAC-10","Common","100","All chests / Packs"
"Stripes","SCAR","Common","100","All chests / Packs"
"Strips","MAC-10","Epic","1,000","All chests / Packs"
"Subnautic","Vita","Mythical","2,000,000","47th Clan War"
"Sugar James","Character","Paranormal","100,000,000","Christmas Chest"
"Sulphur","Character","Common","100",""
"Summer","LAR","Rare","250","All chests / Packs"
"Sunbeam","Character","Mythical","600,000","Watch 15 hours Kirka"
"Sunday","Bayonet","Mythical","6,500,000","150x 💎"
"Sunflower","Shark","Legendary","750,000,000","Gift for CarrySheriff"
"Sunset","VITA","Legendary","4,500,000","5th Clan War"
"Sunshine","Character","Mythical","2,000,000","Watch 15 hours Kirka"
"Superjames","Character","Mythical","150,000","Halloween Chest"
"Supermind","LAR","Rare","250","All chests / Packs"
"Supermother","Character","Mythical","3,500,000","Watch 15 hours Kirka"
"Surfer","Character","Mythical","750,000","6 Daily Streak"
"Swamp","Weatie","Common","100","All chests / Packs"
"Sweater","VITA","Legendary","40,000,000","150x 💎"
"Sweetie","Weatie","Mythical","60,000,000","Watch 15 hours Gecko"
"Swirl","Revolver","Epic","10,000","31st Clan War"
"Sylvia","Character","Mythical","750,000","150x 💎"
